วันที่สั่งซื้อ,เลขคำสั่งซื้อ,ชื่อลูกค้า,ที่อยู่,ตำบล,อำเภอ,จังหวัด,รหัสไปรษณีย์,ภาค,รหัสสินค้า/โปร,สินค้า,ชื่อโปร,จำนวน (ชิ้น),ราคาต่อหน่วย,ส่วนลด,ยอดรวมรายการ,หมายเลขกล่อง,หมายเลขติดตาม,สถานะสลิป
29/10/2568,SO-1003,สมหญิง ชิงกาเบล,99/9 หมู่บ้านสุขใจ ซอย 5 ถนนโชคชัย 4 แขวงลาดพร้าว เขตลาดพร้าว กรุงเทพมหานคร 10230,แขวงลาดพร้าว,เขตลาดพร้าว,กรุงเทพมหานคร,10230,ภาคกลาง,-,-,-,0,฿0.00,฿0.00,฿400.00,0,-,ยังไม่อัปโหลด
29/10/2568,SO-1002,สมชาย สุขใจ,99/9 หมู่บ้านสุขใจ ซอย 5 ถนนโชคชัย 4 แขวงลาดพร้าว เขตลาดพร้าว กรุงเทพมหานคร 10230,แขวงลาดพร้าว,เขตลาดพร้าว,กรุงเทพมหานคร,10230,ภาคกลาง,-,-,-,0,฿0.00,฿0.00,฿400.00,0,-,ยังไม่อัปโหลด
29/10/2568,SO-1001,สมชาย สุขใจ,99/9 หมู่บ้านสุขใจ ซอย 5 ถนนโชคชัย 4 แขวงลาดพร้าว เขตลาดพร้าว กรุงเทพมหานคร 10230,แขวงลาดพร้าว,เขตลาดพร้าว,กรุงเทพมหานคร,10230,ภาคกลาง,-,-,-,0,฿0.00,฿0.00,฿600.00,0,-,ยังไม่อัปโหลด
28/10/2568,ORD-1761642243789,บริษัท เอ็กแซมเพิล จำกัด,128/12 ถนนพระราม 1 แขวงวังใหม่ เขตปทุมวัน,ลุมพินี,ปทุมวัน,กรุงเทพมหานคร,10330,ภาคกลาง,-,-,-,0,฿0.00,฿0.00,฿240.00,0,-,ยังไม่อัปโหลด
28/10/2568,ORD-1761636425498,บริษัท เอ็กแซมเพิล จำกัด,128/12 ถนนพระราม 1 แขวงวังใหม่ เขตปทุมวัน,ลุมพินี,ปทุมวัน,กรุงเทพมหานคร,10330,ภาคกลาง,-,-,-,0,฿0.00,฿0.00,฿360.00,0,-,ยังไม่อัปโหลด
28/10/2568,ORD-1761629121525,สมหญิง รักดี,33/10 ภูริคลอง 7,คูคต,ลำลูกกา,ปทุมธานี,12130,ภาคกลาง,-,-,-,0,฿0.00,฿0.00,฿400.00,0,-,ยังไม่อัปโหลด
28/10/2568,ORD-1761625974435,บริษัท เอ็กแซมเพิล จำกัด,128/12 ถนนพระราม 1 แขวงวังใหม่ เขตปทุมวัน,ลุมพินี,ปทุมวัน,กรุงเทพมหานคร,10330,ภาคกลาง,-,-,-,0,฿0.00,฿0.00,฿200.00,0,-,อัปโหลดแล้ว
28/10/2568,ORD-1761625451361,บริษัท เอ็กแซมเพิล จำกัด,128/12 ถนนพระราม 1 แขวงวังใหม่ เขตปทุมวัน,ลุมพินี,ปทุมวัน,กรุงเทพมหานคร,10330,ภาคกลาง,-,-,-,0,฿0.00,฿0.00,฿400.00,0,-,อัปโหลดแล้ว
28/10/2568,ORD-1761625258789,บริษัท เอ็กแซมเพิล จำกัด,128/12 ถนนพระราม 1 แขวงวังใหม่ เขตปทุมวัน,ลุมพินี,ปทุมวัน,กรุงเทพมหานคร,10330,ภาคกลาง,-,-,-,0,฿0.00,฿0.00,฿600.00,0,-,อัปโหลดแล้ว
28/10/2568,ORD-1761622870309,วิชัย เก่งมาก,789 ถนนติวานนท์,บางกระสอ,เมืองนนทบุรี,นนทบุรี,11000,ภาคกลาง,-,-,-,0,฿0.00,฿0.00,"฿2,000.00",0,-,ยังไม่อัปโหลด
28/10/2568,ORD-1761622787497,มาลี สวยงาม,321 ถนนรังสิต,คลองหนึ่ง,คลองหลวง,ปทุมธานี,12120,ภาคกลาง,-,-,-,0,฿0.00,฿0.00,฿600.00,0,-,ยังไม่อัปโหลด
28/10/2568,ORD-1761622007989,บริษัท เอ็กแซมเพิล จำกัด,128/12 ถนนพระราม 1 แขวงวังใหม่ เขตปทุมวัน,ลุมพินี,ปทุมวัน,กรุงเทพมหานคร,10330,ภาคกลาง,-,-,-,0,฿0.00,฿0.00,฿200.00,0,-,ยังไม่อัปโหลด
27/10/2568,ORD-1761533589243,Mana Jaidee,123 Sukhumvit Rd,Khlong Toei,Khlong Toei,Bangkok,10110,ไม่ทราบภาค,-,-,-,0,฿0.00,฿0.00,฿400.00,0,-,ยังไม่อัปโหลด
24/10/2568,ORD-1761285041247,สมหญิง รักดี,33/10 ภูริคลอง 7,คูคต,ลำลูกกา,ปทุมธานี,12130,ภาคกลาง,-,-,-,0,฿0.00,฿0.00,฿120.00,0,-,อัปโหลดแล้ว
24/10/2568,ORD-1761282292085,สมหญิง รักดี,33/10 ภูริคลอง 7,คูคต,ลำลูกกา,ปทุมธานี,12130,ภาคกลาง,-,-,-,0,฿0.00,฿0.00,฿120.00,0,-,อัปโหลดแล้ว
24/10/2568,ORD-1761281352625,สมหญิง รักดี,33/10 ภูริคลอง 7,คูคต,ลำลูกกา,ปทุมธานี,12130,ภาคกลาง,-,-,-,0,฿0.00,฿0.00,"฿1,750.00",0,-,อัปโหลดแล้ว
24/10/2568,ORD-1761279213225,สมหญิง รักดี,33/10 ภูริคลอง 7,คูคต,ลำลูกกา,ปทุมธานี,12130,ภาคกลาง,-,-,-,0,฿0.00,฿0.00,฿100.00,0,-,อัปโหลดแล้ว
20/10/2568,ORD-1760950795424,วิชัย เก่งมาก,789 ถนนติวานนท์,บางกระสอ,เมืองนนทบุรี,นนทบุรี,11000,ภาคกลาง,-,-,-,0,฿0.00,฿0.00,฿120.00,0,-,ยังไม่อัปโหลด
20/10/2568,ORD-1760950639386,วิชัย เก่งมาก,789 ถนนติวานนท์,บางกระสอ,เมืองนนทบุรี,นนทบุรี,11000,ภาคกลาง,-,-,-,0,฿0.00,฿0.00,฿120.00,0,120,ยังไม่อัปโหลด
20/10/2568,ORD-1760949151533,วิชัย เก่งมาก,789 ถนนติวานนท์,บางกระสอ,เมืองนนทบุรี,นนทบุรี,11000,ภาคกลาง,-,-,-,0,฿0.00,฿0.00,"฿1,750.00",0,-,ยังไม่อัปโหลด
20/10/2568,ORD-1760948302845,วิชัย เก่งมาก,789 ถนนติวานนท์,บางกระสอ,เมืองนนทบุรี,นนทบุรี,11000,ภาคกลาง,-,-,-,0,฿0.00,฿0.00,"฿1,750.00",0,-,ยังไม่อัปโหลด
20/10/2568,ORD-1760947550715,วิชัย เก่งมาก,789 ถนนติวานนท์,บางกระสอ,เมืองนนทบุรี,นนทบุรี,11000,ภาคกลาง,-,-,-,0,฿0.00,฿0.00,฿120.00,0,-,ยังไม่อัปโหลด
20/10/2568,ORD-1760945441327,สมหญิง รักดี,33/10 ภูริคลอง 7,คูคต,ลำลูกกา,ปทุมธานี,12130,ภาคกลาง,-,-,-,0,฿0.00,฿0.00,"฿1,870.00",0,-,ยังไม่อัปโหลด
17/10/2568,ORD-1760680043751,สมหญิง รักดี,33/10 ภูริคลอง 7,คูคต,ลำลูกกา,ปทุมธานี,12130,ภาคกลาง,-,-,-,0,฿0.00,฿0.00,"฿1,950.00",0,-,ยังไม่อัปโหลด
17/10/2568,ORD-1760679975662,สมหญิง รักดี,33/10 ภูริคลอง 7,คูคต,ลำลูกกา,ปทุมธานี,12130,ภาคกลาง,-,-,-,0,฿0.00,฿0.00,"฿1,750.00",0,-,ยังไม่อัปโหลด
17/10/2568,ORD-1760679028514,Mana Jaidee,123 Sukhumvit Rd,Khlong Toei,Khlong Toei,Bangkok,10110,ไม่ทราบภาค,-,-,-,0,฿0.00,฿0.00,"฿1,870.00",0,-,ยังไม่อัปโหลด
17/10/2568,ORD-1760678753047,Mana Jaidee,123 Sukhumvit Rd,Khlong Toei,Khlong Toei,Bangkok,10110,ไม่ทราบภาค,-,-,-,0,฿0.00,฿0.00,"฿1,750.00",0,-,ยังไม่อัปโหลด
17/10/2568,ORD-1760673763984,สมหญิง รักดี,33/10 ภูริคลอง 7,คูคต,ลำลูกกา,ปทุมธานี,12130,ภาคกลาง,-,-,-,0,฿0.00,฿0.00,"฿1,990.00",0,-,ยังไม่อัปโหลด
17/10/2568,ORD-1760673567816,สมหญิง รักดี,33/10 ภูริคลอง 7,คูคต,ลำลูกกา,ปทุมธานี,12130,ภาคกลาง,-,-,-,0,฿0.00,฿0.00,฿120.00,0,-,ยังไม่อัปโหลด
17/10/2568,ORD-1760673128688,สมหญิง รักดี,33/10 ภูริคลอง 7,คูคต,ลำลูกกา,ปทุมธานี,12130,ภาคกลาง,-,-,-,0,฿0.00,฿0.00,"฿1,750.00",0,-,ยังไม่อัปโหลด
17/10/2568,ORD-1760672505732,Mana Jaidee,123 Sukhumvit Rd,Khlong Toei,Khlong Toei,Bangkok,10110,ไม่ทราบภาค,-,-,-,0,฿0.00,฿0.00,"฿1,250.00",0,-,ยังไม่อัปโหลด
17/10/2568,ORD-1760670875680,สมหญิง รักดี,33/10 ภูริคลอง 7,คูคต,ลำลูกกา,ปทุมธานี,12130,ภาคกลาง,-,-,-,0,฿0.00,฿0.00,"฿1,720.00",0,-,ยังไม่อัปโหลด
17/10/2568,ORD-1760669247836,มนัส บุญจำนง,32/458,ออเงิน,สายไหม,กรุงเทพ,12150,ไม่ทราบภาค,-,-,-,0,฿0.00,฿0.00,"฿1,575.00",0,-,ยังไม่อัปโหลด
